Date,Tweet,Username,Url
2022-11-30 01:58:14+00:00,.@ThreeUK you really are pure evil. I have had enough of your evil ways!!!!! https://t.co/oUSkVjpdjK,katecrimed,https://twitter.com/katecrimed/status/1597771959093186562
2022-11-29 22:47:11+00:00,@MaxdMerc @ThreeUK I’ve been on the same contract for years and it’s pretty low I guess I will get some mither soon,TalkGT,https://twitter.com/TalkGT/status/1597723877827923968
2022-11-29 22:28:16+00:00,@TalkGT @ThreeUK Guess you will get it when your current contract with them is up. 👎🏻,MaxdMerc,https://twitter.com/MaxdMerc/status/1597719116915277824
2022-11-29 22:17:47+00:00,"@ThreeUK so it now appears that three are a company that not only has a completely ineffective customer complaints procedure,  it is obviously happy to try to defraud its ex customer by selling a ficticious debt to a collection company who is willing to threaten innocent people",whitfieldbenson,https://twitter.com/whitfieldbenson/status/1597716481063936002
2022-11-29 21:30:58+00:00,@MaxdMerc @ThreeUK I’m with 3 but I’ve not heard anything yet about change of contract,TalkGT,https://twitter.com/TalkGT/status/1597704698248986626
2022-11-29 21:10:10+00:00,@ThreeUK desperately need support from as I’m overseas and can’t call.,char_hill32,https://twitter.com/char_hill32/status/1597699464374128640
2022-11-29 20:47:06+00:00,"So @ThreeUK are putting their prices up and forcing us to choose a new contract as the current one is coming to an end. 

No option to continue the one we currently have. 

Not as competitive as others so it’s a shame but after all these years we’ll be saying goodbye tomorrow. 👎🏻 https://t.co/tQ69PUhE4c",MaxdMerc,https://twitter.com/MaxdMerc/status/1597693656231813121
2022-11-29 20:41:14+00:00,"@SamsungUK @ThreeUK hi, I got a new Samsung phone in October with the promise of a free pair of ear buds, I have email conformation of my new upgrade dated 30/10/22, the offer expired on the 31/10, my letter that came with the phone says it was ordered on the 08/11, and as..",JimHutchy,https://twitter.com/JimHutchy/status/1597692181023952897
2022-11-29 20:26:01+00:00,"@ThreeUKSupport @ThreeUK Hi there, I have the unlimited data package and own a Huawei WiFi hub router which I've owned since August 2019 and for some strange reason my internet keeps disconnecting. I've had no signal all day. FIX THIS! Or I'm leaving you! https://t.co/aJDwuOQjTW",AlanKhaos,https://twitter.com/AlanKhaos/status/1597688354199728130
2022-11-29 20:01:08+00:00,"Are you a @ThreeUK customer? Get ahead of the crowd with presale tickets to 80s LIVE! tomorrow from 9am now thanks to Three+! 🙌 🎉 

Enjoy life with a few extra plusses: https://t.co/5dfOXEOJSZ  T&amp;Cs apply

#ThreeUK #PandJLive #80sLive https://t.co/Keyj9YB7b0",PandJLive,https://twitter.com/PandJLive/status/1597682089503203329
2022-11-29 18:43:22+00:00,"@ThreeUKSupport @ThreeUK Sometimes show 3g and as per speed test I got 1.7 mbps speed. My internet is not working even on 3g,4g. There are two other friends who also bought your sim and now we are regretting. We just need working internet on our phone. Fix this ASAP.",vicky9663,https://twitter.com/vicky9663/status/1597662518599897089
2022-11-29 18:38:54+00:00,"@ThreeUKSupport @ThreeUK I bought your sim on contract 15th of November, I ordered the sim over the phone call and as per your commitment my area postage code covered in 5G. But, forgot about 5G I’m not getting even 4G signal. There is 1 or maximum 2 signal of 4G. (1/2)",vicky9663,https://twitter.com/vicky9663/status/1597661393888903169
2022-11-29 18:16:47+00:00,@Nebrilez @ThreeUK @ChelseaFC @cucurella3 obsceno,gordoaka9,https://twitter.com/gordoaka9/status/1597655830555676672
